drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.95,2.25,10.0,concave,40.150
0.95,2.375,10.0,concave,39.250
0.95,2.5,10.0,concave,37.850
1.0,0.0,10.0,concave,NAN
1.0,0.125,10.0,concave,191.400
1.0,0.25,10.0,concave,113.000
1.0,0.375,10.0,concave,87.900
1.0,0.5,10.0,concave,74.000
1.0,0.625,10.0,concave,65.150
1.0,0.75,10.0,concave,58.500
1.0,0.875,10.0,concave,53.800
1.0,1.0,10.0,concave,51.500
1.0,1.125,10.0,concave,48.500
1.0,1.25,10.0,concave,46.850
1.0,1.375,10.0,concave,44.250
1.0,1.5,10.0,concave,43.300
1.0,1.625,10.0,concave,41.550
1.0,1.75,10.0,concave,40.100
1.0,1.875,10.0,concave,39.150
1.0,2.0,10.0,concave,38.800
1.0,2.125,10.0,concave,37.400
1.0,2.25,10.0,concave,36.850
1.0,2.375,10.0,concave,36.400
1.0,2.5,10.0,concave,35.200
0.0,0.0,10.0,convex,NAN
0.0,1.25,10.0,convex,NAN
0.0,10.0,10.0,convex,NAN
0.0,11.25,10.0,convex,NAN
0.0,12.5,10.0,convex,NAN
0.0,13.75,10.0,convex,NAN
0.0,15.0,10.0,convex,NAN
0.0,16.25,10.0,convex,NAN
0.0,17.5,10.0,convex,NAN
0.0,18.75,10.0,convex,NAN
0.0,2.5,10.0,convex,NAN
0.0,20.0,10.0,convex,NAN
0.0,21.25,10.0,convex,NAN
0.0,22.5,10.0,convex,NAN
0.0,23.75,10.0,convex,NAN
0.0,25.0,10.0,convex,150.600
0.0,3.75,10.0,convex,NAN
0.0,5.0,10.0,convex,NAN
0.0,6.25,10.0,convex,NAN
0.0,7.5,10.0,convex,NAN
0.0,8.75,10.0,convex,NAN
0.05,0.0,10.0,convex,NAN
0.05,1.25,10.0,convex,NAN
0.05,10.0,10.0,convex,NAN
0.05,11.25,10.0,convex,NAN
0.05,12.5,10.0,convex,NAN
0.05,13.75,10.0,convex,NAN
0.05,15.0,10.0,convex,NAN
0.05,16.25,10.0,convex,NAN
0.05,17.5,10.0,convex,NAN
0.05,18.75,10.0,convex,NAN
0.05,2.5,10.0,convex,NAN
0.05,20.0,10.0,convex,NAN
0.05,21.25,10.0,convex,NAN
0.05,22.5,10.0,convex,NAN
0.05,23.75,10.0,convex,152.100
0.05,25.0,10.0,convex,86.900
0.05,3.75,10.0,convex,NAN
0.05,5.0,10.0,convex,NAN
0.05,6.25,10.0,convex,NAN
0.05,7.5,10.0,convex,NAN
0.05,8.75,10.0,convex,NAN
0.1,0.0,10.0,convex,NAN
0.1,1.25,10.0,convex,NAN
0.1,10.0,10.0,convex,NAN
0.1,11.25,10.0,convex,NAN
0.1,12.5,10.0,convex,NAN
0.1,13.75,10.0,convex,NAN
0.1,15.0,10.0,convex,NAN
0.1,16.25,10.0,convex,NAN
0.1,17.5,10.0,convex,NAN
0.1,18.75,10.0,convex,NAN
0.1,2.5,10.0,convex,NAN
0.1,20.0,10.0,convex,NAN
0.1,21.25,10.0,convex,NAN
0.1,22.5,10.0,convex,155.450
0.1,23.75,10.0,convex,85.600
0.1,25.0,10.0,convex,70.150
0.1,3.75,10.0,convex,NAN
0.1,5.0,10.0,convex,NAN
0.1,6.25,10.0,convex,NAN
0.1,7.5,10.0,convex,NAN
0.1,8.75,10.0,convex,NAN
0.15,0.0,10.0,convex,NAN
0.15,1.25,10.0,convex,NAN
0.15,10.0,10.0,convex,NAN
