drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.900,8.5,0.5,6.0,linear,40.150
0.900,9.0,0.5,6.0,linear,39.550
0.900,9.5,0.5,6.0,linear,38.400
0.925,0.0,0.5,6.0,linear,NAN
0.925,0.5,0.5,6.0,linear,NAN
0.925,1.0,0.5,6.0,linear,NAN
0.925,1.5,0.5,6.0,linear,NAN
0.925,10.0,0.5,6.0,linear,36.450
0.925,2.0,0.5,6.0,linear,NAN
0.925,2.5,0.5,6.0,linear,NAN
0.925,3.0,0.5,6.0,linear,NAN
0.925,3.5,0.5,6.0,linear,116.300
0.925,4.0,0.5,6.0,linear,80.400
0.925,4.5,0.5,6.0,linear,66.750
0.925,5.0,0.5,6.0,linear,58.350
0.925,5.5,0.5,6.0,linear,53.650
0.925,6.0,0.5,6.0,linear,49.150
0.925,6.5,0.5,6.0,linear,46.250
0.925,7.0,0.5,6.0,linear,43.900
0.925,7.5,0.5,6.0,linear,43.000
0.925,8.0,0.5,6.0,linear,41.250
0.925,8.5,0.5,6.0,linear,39.600
0.925,9.0,0.5,6.0,linear,39.200
0.925,9.5,0.5,6.0,linear,38.050
0.950,0.0,0.5,6.0,linear,NAN
0.950,0.5,0.5,6.0,linear,NAN
0.950,1.0,0.5,6.0,linear,NAN
0.950,1.5,0.5,6.0,linear,NAN
0.950,10.0,0.5,6.0,linear,37.250
0.950,2.0,0.5,6.0,linear,NAN
0.950,2.5,0.5,6.0,linear,NAN
0.950,3.0,0.5,6.0,linear,NAN
0.950,3.5,0.5,6.0,linear,105.750
0.950,4.0,0.5,6.0,linear,76.550
0.950,4.5,0.5,6.0,linear,64.650
0.950,5.0,0.5,6.0,linear,57.200
0.950,5.5,0.5,6.0,linear,51.800
0.950,6.0,0.5,6.0,linear,48.800
0.950,6.5,0.5,6.0,linear,46.100
0.950,7.0,0.5,6.0,linear,43.700
0.950,7.5,0.5,6.0,linear,42.400
0.950,8.0,0.5,6.0,linear,40.100
0.950,8.5,0.5,6.0,linear,39.200
0.950,9.0,0.5,6.0,linear,38.550
0.950,9.5,0.5,6.0,linear,37.200
0.975,0.0,0.5,6.0,linear,NAN
0.975,0.5,0.5,6.0,linear,NAN
0.975,1.0,0.5,6.0,linear,NAN
0.975,1.5,0.5,6.0,linear,NAN
0.975,10.0,0.5,6.0,linear,36.050
0.975,2.0,0.5,6.0,linear,NAN
0.975,2.5,0.5,6.0,linear,NAN
0.975,3.0,0.5,6.0,linear,283.000
0.975,3.5,0.5,6.0,linear,98.550
0.975,4.0,0.5,6.0,linear,73.900
0.975,4.5,0.5,6.0,linear,62.050
0.975,5.0,0.5,6.0,linear,55.500
0.975,5.5,0.5,6.0,linear,51.250
0.975,6.0,0.5,6.0,linear,48.050
0.975,6.5,0.5,6.0,linear,45.200
0.975,7.0,0.5,6.0,linear,43.150
0.975,7.5,0.5,6.0,linear,41.350
0.975,8.0,0.5,6.0,linear,39.850
0.975,8.5,0.5,6.0,linear,38.700
0.975,9.0,0.5,6.0,linear,38.100
0.975,9.5,0.5,6.0,linear,37.250
1.000,0.0,0.5,6.0,linear,NAN
1.000,0.5,0.5,6.0,linear,NAN
1.000,1.0,0.5,6.0,linear,NAN
1.000,1.5,0.5,6.0,linear,NAN
1.000,10.0,0.5,6.0,linear,36.300
1.000,2.0,0.5,6.0,linear,NAN
1.000,2.5,0.5,6.0,linear,NAN
1.000,3.0,0.5,6.0,linear,209.400
1.000,3.5,0.5,6.0,linear,91.950
1.000,4.0,0.5,6.0,linear,70.950
1.000,4.5,0.5,6.0,linear,60.800
1.000,5.0,0.5,6.0,linear,54.600
1.000,5.5,0.5,6.0,linear,51.000
1.000,6.0,0.5,6.0,linear,47.550
1.000,6.5,0.5,6.0,linear,44.500
1.000,7.0,0.5,6.0,linear,42.400
1.000,7.5,0.5,6.0,linear,41.300
1.000,8.0,0.5,6.0,linear,40.100
1.000,8.5,0.5,6.0,linear,38.600
1.000,9.0,0.5,6.0,linear,37.750
1.000,9.5,0.5,6.0,linear,36.800
